Assignment_ID,Project_ID,Consultant_ID,Role_On_Project,Assigned_Start_Date,Assigned_End_Date,Allocation_Pct,Bill_Rate_CAD,Assignment_Status
ASN-00270,PRJ-0097,CON-019,Technical Specialist,2025-04-17,2025-04-24,0.4,209,Closed
ASN-00271,PRJ-0098,CON-017,Project Manager,2023-02-18,2023-07-30,0.25,243,Closed
ASN-00272,PRJ-0098,CON-016,Change Analyst,2023-03-06,2023-07-30,0.25,162,Closed
ASN-00273,PRJ-0099,CON-059,Project Manager,2025-03-16,2025-08-28,0.15,297.5,Closed
ASN-00274,PRJ-0099,CON-064,Delivery Consultant,2025-03-19,2025-08-28,0.2,127.5,Closed
ASN-00275,PRJ-0100,CON-056,Project Manager,2023-12-08,2024-07-03,0.1,297,Closed
ASN-00276,PRJ-0100,CON-057,Lead Consultant,2023-11-29,2024-07-03,0.75,297,Closed
ASN-00277,PRJ-0101,CON-032,Project Manager,2023-03-15,2023-09-22,0.1,315,Closed
ASN-00278,PRJ-0101, CON-050,Business Analyst,2023-03-12,2023-09-22,0.6,198,Closed
ASN-00279,PRJ-0101,CON-017,Delivery Consultant,2023-03-07,2023-09-22,1,243,Closed
ASN-00280,PRJ-0102,CON-059,Project Manager,2024-04-07,2024-08-27,0.15,297.5,Closed
ASN-00281,PRJ-0102,CON-034,Lead Consultant,2024-04-07,2024-08-27,0.5,187,Closed
ASN-00282,PRJ-0102,CON-040,Change Analyst,2024-04-16,2024-08-27,0.3,187,Closed
ASN-00283,PRJ-0102,CON-064 ,Change Analyst,2024-04-16,2024-08-27,0.25,127.5,Closed
ASN-00284,PRJ-0103, CON-059,Project Manager,2023-11-06,2024-06-01,0.15,297.5,Closed
ASN-00285,PRJ-0103,CON-055 ,Technical Specialist,2023-11-03,2024-06-01,0.6,153,Closed
ASN-00286,PRJ-0104,CON-059,Project Manager,2023-10-22,2024-03-19,0.3,297.5,Closed
ASN-00287,PRJ-0104,CON-030,Business Analyst,2023-10-30,2024-03-19,0.75,153,Closed
ASN-00288,PRJ-0104,CON-064,Business Analyst,2023-10-25,2024-03-19,0.25,127.5,Closed
ASN-00289,PRJ-0104,CON-067,Technical Specialist,2023-11-09,2024-03-19,1,187,Closed
ASN-00290,PRJ-0105,CON-077,Project Manager,2025-05-22,2025-07-13,0.15,256.5,Closed
ASN-00291,PRJ-0105,CON-019,Delivery Consultant,2025-05-15,2025-07-13,1,209,Closed
ASN-00292,PRJ-0105,CON-035,Technical Specialist,2025-05-17,2025-07-13,1,142.5,Closed
ASN-00293,PRJ-0105,CON-023,Business Analyst,2025-05-08,2025-07-13,0.75,171,Closed
ASN-00294,PRJ-0106,CON-033,Project Manager,2025-01-17,2025-02-04,0.3,315,Closed
ASN-00295,PRJ-0106,CON-004,Lead Consultant,2025-01-08,2025-02-04,0.25,135,Closed
ASN-00296,PRJ-0107,CON-074,Project Manager,2024-02-12,2024-05-17,0.15,270,Closed
ASN-00297,PRJ-0107,CON-066,Technical Specialist,2024-02-21,2024-05-17,0.3,150,Closed
ASN-00298,prj-0107 ,CON-043,Business Analyst,2024-02-22,2024-05-17,0.75,220,Closed
ASN-00299,PRJ-0108,CON-069,Project Manager,2024-01-21,2024-06-09,0.1,243,Closed
ASN-00300,PRJ-0108,CON-032,Business Analyst,2024-02-07,2024-06-09,0.6,315,Closed
ASN-00301,PRJ-0108,CON-004,Delivery Consultant,2024-01-22,2024-06-09,0.25,135,Closed
ASN-00302,PRJ-0109,CON-075,Project Manager,2024-10-22,2024-12-08,0.2,315,Closed
ASN-00303,PRJ-0109,CON-004,Technical Specialist,2024-10-28,2024-12-08,0.5,135,Closed
ASN-00304,PRJ-0110,con-038 ,Project Manager,2024-10-08,2025-02-02,0.1,256.5,Closed
ASN-00305,PRJ-0110,CON-029,Delivery Consultant,2024-09-26,2025-02-02,0.6,189,Closed
ASN-00306,PRJ-0110,CON-011,Delivery Consultant,2024-10-04,2025-02-02,0.3,189,Closed
ASN-00307,PRJ-0111 ,CON-006,Project Manager,2025-07-18,2025-12-31,0.1,256.5,Active
ASN-00308,PRJ-0111,CON-048,Change Analyst,2025-07-08,2025-12-31,0.5,256.5,Active
ASN-00309,PRJ-0111,CON-077,Technical Specialist,2025-07-14,2025-12-31,0.4,256.5,Active
ASN-00310,PRJ-0112,CON-057,Project Manager,2024-05-26,2024-06-21,0.25,297,Closed
ASN-00311,PRJ-0112,CON-070,Change Analyst,2024-05-19,2024-06-21,0.25,198,Closed
ASN-00312,PRJ-0113,CON-038,Project Manager,2024-08-07,2024-12-01,0.3,256.5,Active
ASN-00313,PRJ-0113,CON-012,Change Analyst,2024-08-05,2024-12-01,0.6,142.5,Active
ASN-00314,PRJ-0113,CON-020,Change Analyst,2024-08-10,2024-12-01,0.25,209,Active
ASN-00315,PRJ-0114,CON-017,Project Manager,2024-11-08,2024-11-28,0.1,243,Closed
ASN-00316,PRJ-0114,CON-054,Change Analyst,2024-11-07,2024-11-28,0.6,162,Closed
ASN-00317,PRJ-0114,CON-050,Delivery Consultant,2024-11-04,2024-11-28,1,198,Closed
ASN-00318,PRJ-0114,CON-069,Business Analyst,2024-11-10,2024-11-28,1,243,Closed
ASN-00319,prj-0115,CON-059,Project Manager,2025-05-08,2025-07-29,0.15,297.5,Closed
ASN-00320,PRJ-0115,CON-063,Technical Specialist,2025-05-21,2025-07-29,0.2,127.5,Closed
ASN-00321,PRJ-0116,CON-077,Project Manager,2025-09-21,2025-12-13,0.15,256.5,Active
ASN-00322,PRJ-0116,CON-001,Technical Specialist,2025-10-01,2025-12-13,1,171,Active
ASN-00323,PRJ-0117,CON-069,Project Manager,2024-10-10,2024-11-09,0.2,243,Closed
ASN-00324,PRJ-0117,CON-032,Delivery Consultant,2024-10-24,2024-11-09,0.75,315,Closed
ASN-00325,PRJ-0117,CON-016,Change Analyst,2024-10-22,2024-11-09,0.5,162,Closed
ASN-00326,PRJ-0118,CON-032,Project Manager,2024-04-09,2024-12-05,0.1,315,Closed
ASN-00327,PRJ-0118,CON-073,Change Analyst,2024-04-17,2024-12-05,0.3,198,Closed
ASN-00328,PRJ-0118,CON-004,Business Analyst,2024-04-17,2024-12-05,0.2,135,Closed
ASN-00329,PRJ-0118,CON-075,Business Analyst,2024-04-19,2024-12-05,0.25,315,Closed
ASN-00330,PRJ-0119,CON-006 ,Project Manager,2024-10-19,2025-01-26,0.3,256.5,Closed
ASN-00331,PRJ-0119,CON-005,Technical Specialist,2024-10-25,2025-01-26,0.3,171,Closed
ASN-00332,PRJ-0119,CON-007,Technical Specialist,2024-10-13,2025-01-26,0.6,142.5,Closed
ASN-00333,PRJ-0120,CON-059,Project Manager,2023-08-13,2023-10-18,0.15,297.5,Closed
ASN-00334,PRJ-0120,CON-067,Business Analyst,2023-08-24,2023-10-18,0.25,187,Closed
ASN-00335,PRJ-0121,CON-033,Project Manager,2023-02-09,2023-08-13,0.25,315,Closed
ASN-00336,PRJ-0121,CON-050,Lead Consultant,2023-02-04,2023-08-13,0.6,198,Closed
ASN-00337,PRJ-0121,CON-032,Change Analyst,2023-02-07,2023-08-13,0.3,315,Closed
ASN-00338,PRJ-0122,CON-074,Project Manager,2024-02-28,2024-03-29,0.2,270,Closed
ASN-00339,PRJ-0122,CON-066,Change Analyst,2024-02-25,2024-03-29,0.5,150,Closed
ASN-00340,PRJ-0123, CON-059,Project Manager,2024-08-31,2024-09-18,0.2,297.5,Closed
ASN-00341, PRJ-0123 ,CON-064,Business Analyst,2024-08-28,2024-09-18,0.25,127.5,Closed
ASN-00342,PRJ-0123,CON-060,Lead Consultant,2024-08-30,2024-09-18,0.3,153,Closed
ASN-00343,PRJ-0124,CON-022,Project Manager,2025-06-29,2025-12-19,0.2,270,Active
ASN-00344,PRJ-0124,CON-028,Lead Consultant,2025-07-10,2025-12-19,0.2,157.5,Active
ASN-00345,PRJ-0125,CON-015,Project Manager,2025-02-19,2025-04-09,0.25,350,Closed
ASN-00346,PRJ-0125,CON-014,Business Analyst,2025-02-09,2025-04-09,0.6,220,Closed
ASN-00347,PRJ-0125,CON-066,Technical Specialist,2025-02-10,2025-04-09,1,150,Closed
ASN-00348,PRJ-0126,CON-074,Project Manager,2023-03-02,2023-09-18,0.2,270,Closed
ASN-00349,PRJ-0126,CON-010,Business Analyst,2023-03-20,2023-09-18,0.5,150,Closed
ASN-00350,PRJ-0126,CON-022,Technical Specialist,2023-03-10,2023-09-18,0.3,270,Closed
ASN-00351,PRJ-0126,CON-041,Business Analyst,2023-03-18,2023-09-18,0.6,150,Closed
ASN-00352,PRJ-0127,CON-077,Project Manager,2023-05-05,2023-09-04,0.15,256.5,Closed
ASN-00353,PRJ-0127,CON-019,Delivery Consultant,2023-05-09,2023-09-04,0.25,209,Closed
ASN-00354,PRJ-0127,CON-052,Change Analyst,2023-05-19,2023-09-04,0.2,142.5,Closed
ASN-00355,PRJ-0128,CON-057,Project Manager,2023-09-03,2023-12-20,0.3,297,Closed
ASN-00356,PRJ-0128,CON-065,Technical Specialist,2023-09-08,2023-12-20,0.25,242,Closed
ASN-00357,PRJ-0128,CON-013,Lead Consultant,2023-08-28,2023-12-20,1,165,Closed
ASN-00358,PRJ-0129,CON-038,Project Manager,2023-10-23,2024-03-09,0.25,256.5,Active
ASN-00359,PRJ-0129,CON-006,Delivery Consultant,2023-10-16,2024-03-09,0.5,256.5,Active
ASN-00360,PRJ-0129,CON-007,Lead Consultant,2023-10-30,2024-03-09,0.4,142.5,Active
ASN-00361,PRJ-0130,CON-036,Project Manager,2025-09-16,2025-12-23,0.1,350,Active
ASN-00362,PRJ-0130,CON-074,Business Analyst,2025-09-01,2025-12-23,0.3,270,Active
ASN-00363,PRJ-0131,con-033 ,Project Manager,2025-06-09,2025-12-31,0.1,315,Active
ASN-00364,PRJ-0131,CON-026 ,Lead Consultant,2025-06-12,2025-12-31,0.5,189,Active
ASN-00365,PRJ-0132,con-015 ,Project Manager,2024-06-27,2024-11-26,0.15,350,Closed
ASN-00366,PRJ-0132,CON-039,Change Analyst,2024-06-28,2024-11-26,0.2,150,Closed
ASN-00367,PRJ-0133,CON-006,Project Manager,2025-04-24,2025-06-30,0.25,256.5,Closed
ASN-00368,PRJ-0133, CON-042 ,Lead Consultant,2025-05-05,2025-06-30,0.3,171,Closed
ASN-00369,PRJ-0133,CON-048,Technical Specialist,2025-04-25,2025-06-30,0.5,256.5,Closed
ASN-00370,PRJ-0134,CON-059,Project Manager,2024-08-08,2024-12-19,0.2,297.5,Closed
ASN-00371,PRJ-0134,CON-067,Technical Specialist,2024-07-28,2024-12-19,0.4,187,Closed
ASN-00372,PRJ-0135,CON-022,Project Manager,2024-03-25,2024-05-19,0.3,270,Closed
ASN-00373,PRJ-0135,CON-071,Business Analyst,2024-03-15,2024-05-19,0.2,180,Closed
ASN-00374,PRJ-0135,CON-014,Change Analyst,2024-03-24,2024-05-19,0.2,220,Closed
ASN-00375,PRJ-0136,CON-006,Project Manager,2024-07-25,2024-09-21,0.25,256.5,Closed
ASN-00376,PRJ-0136,CON-005,Lead Consultant,2024-07-27,2024-09-21,0.6,171,Closed
ASN-00377,PRJ-0136,CON-051,Business Analyst,2024-07-20,2024-09-21,0.75,209,Closed
ASN-00378,PRJ-0137,CON-078,Project Manager,2024-07-12,2024-11-05,0.25,270,Closed
ASN-00379,PRJ-0137,CON-011,Technical Specialist,2024-07-18,2024-11-05,0.25,189,Closed
ASN-00380,PRJ-0137,CON-029,Delivery Consultant,2024-07-22,2024-11-05,1,189,Closed
ASN-00381,PRJ-0138,CON-036,Project Manager,2024-08-13,2024-11-05,0.3,350,Closed
ASN-00382,PRJ-0138,CON-071,Business Analyst,2024-08-13,2024-11-05,0.2,180,Closed
ASN-00383,PRJ-0139,CON-069,Project Manager,2023-11-27,2024-06-11,0.2,243,Closed
ASN-00384,PRJ-0139,CON-016,Business Analyst,2023-11-23,2024-06-11,0.3,162,Closed
ASN-00385,PRJ-0140,CON-059,Project Manager,2025-10-14,2025-12-12,0.2,297.5,Active
ASN-00386,PRJ-0140,CON-055,Technical Specialist,2025-10-12,2025-12-12,0.4,153,Active
ASN-00387,PRJ-0141,CON-056,Project Manager,2025-10-09,2025-12-31,0.25,297,Active
ASN-00388,PRJ-0141,CON-009,Lead Consultant,2025-10-01,2025-12-31,0.3,242,Active
ASN-00389,PRJ-0141,CON-053,Lead Consultant,2025-10-07,2025-12-31,0.2,242,Active
ASN-00390,PRJ-0142,CON-017,Project Manager,2024-01-04,2024-07-13,0.2,243,Closed
ASN-00391,PRJ-0142,CON-054,Lead Consultant,2023-12-23,2024-07-13,0.6,162,Closed
ASN-00392,PRJ-0142,CON-073,Delivery Consultant,2023-12-28,2024-07-13,0.2,198,Closed
ASN-00393,PRJ-0142,CON-004,Delivery Consultant,2023-12-21,2024-07-13,1,135,Closed
ASN-00394,PRJ-0143,CON-006,Project Manager,2025-08-25,2025-10-10,0.1,256.5,Closed
ASN-00395,PRJ-0143,CON-019,Delivery Consultant,2025-08-24,2025-10-10,0.2,209,Closed
ASN-00396,PRJ-0143,CON-072,Technical Specialist,2025-08-28,2025-10-10,0.5,142.5,Closed
ASN-00397,PRJ-0143,CON-012,Delivery Consultant,2025-08-31,2025-10-10,0.75,142.5,Closed
ASN-00398,PRJ-0144,CON-059,Project Manager,2023-10-04,2024-01-30,0.15,297.5,Closed
ASN-00399,PRJ-0144,CON-040,Change Analyst,2023-10-10,2024-01-30,0.6,187,Closed
ASN-00400,PRJ-0145,CON-069,Project Manager,2025-01-20,2025-07-17,0.1,243,Closed
ASN-00401,PRJ-0145,CON-054,Change Analyst,2025-01-14,2025-07-17,0.75,162,Closed
ASN-00402,PRJ-0146,CON-048,Project Manager,2023-01-11,2023-04-14,0.1,256.5,Active
ASN-00403,PRJ-0146,CON-005,Change Analyst,2023-01-07,2023-04-14,0.4,171,Active
ASN-00404,PRJ-0146,CON-001,Technical Specialist,2023-01-10,2023-04-14,0.75,171,Active
ASN-00405,PRJ-0147,CON-032,Project Manager,2024-11-11,2025-01-31,0.1,315,Closed
ASN-00406,PRJ-0147,CON-075,Delivery Consultant,2024-11-08,2025-01-31,1,315,Closed
ASN-00407,PRJ-0147,CON-017,Lead Consultant,2024-11-05,2025-01-31,0.2,243,Closed
ASN-00408,PRJ-0147,CON-073,Delivery Consultant,2024-11-14,2025-01-31,0.3,198,Closed
ASN-00409,PRJ-0148,CON-057,Project Manager,2023-04-30,2023-12-17,0.1,297,Closed
ASN-00410,PRJ-0148,CON-047,Delivery Consultant,2023-05-13,2023-12-17,0.2,242,Closed
ASN-00411,PRJ-0149,CON-059,Project Manager,2025-05-15,2025-08-06,0.2,297.5,Closed
ASN-00412,PRJ-0149 ,CON-034,Change Analyst,2025-05-13,2025-08-06,0.75,187,Closed
ASN-00413,PRJ-0149,CON-030,Business Analyst,2025-05-14,2025-08-06,0.5,153,Closed
ASN-00414,PRJ-0150,CON-006,Project Manager,2024-03-03,2024-09-03,0.1,256.5,Closed
ASN-00415,PRJ-0150,CON-003,Delivery Consultant,2024-02-22,2024-09-03,0.5,171,Closed
ASN-00416,PRJ-0151,CON-048,Project Manager,2025-04-11,2025-11-04,0.25,256.5,Closed
ASN-00417,PRJ-0151,CON-042,Change Analyst,2025-03-30,2025-11-04,0.3,171,Closed
ASN-00418,PRJ-0151,CON-080,Technical Specialist,2025-04-01,2025-11-04,0.4,142.5,Closed
ASN-00419,PRJ-0152,CON-032,Project Manager,2023-06-25,2023-08-31,0.2,315,Closed
ASN-00420,PRJ-0152,CON-054,Business Analyst,2023-07-03,2023-08-31,0.25,162,Closed
ASN-00421,PRJ-0152,CON-050,Business Analyst,2023-07-02,2023-08-31,0.6,198,Closed
ASN-00422,PRJ-0153,CON-022,Project Manager,2023-05-27,2023-10-10,0.15,270,Closed
ASN-00423,PRJ-0153,CON-010,Change Analyst,2023-05-24,2023-10-10,0.6,150,Closed
ASN-00424,PRJ-0153,CON-074,Delivery Consultant,2023-05-29,2023-10-10,0.75,270,Closed
ASN-00425,PRJ-0154,CON-059,Project Manager,2023-03-15,2023-05-19,0.2,297.5,Closed
ASN-00426,PRJ-0154,CON-030,Business Analyst,2023-03-03,2023-05-19,0.25,153,Closed
ASN-00427,PRJ-0154,CON-063,Business Analyst,2023-03-05,2023-05-19,0.6,127.5,Closed
ASN-00428,PRJ-0155,con-056 ,Project Manager,2023-06-17,2023-11-07,0.25,297,Closed
ASN-00429,PRJ-0155,CON-009,Delivery Consultant,2023-06-12,2023-11-07,0.3,242,Closed
ASN-00430,PRJ-0155,CON-013,Business Analyst,2023-06-08,2023-11-07,0.6,165,Closed
ASN-00431,PRJ-0156,CON-057,Project Manager,2023-04-23,2023-08-15,0.3,297,Closed
ASN-00432,PRJ-0156,CON-002,Technical Specialist,2023-04-30,2023-08-15,0.4,242,Closed
ASN-00433,PRJ-0156,CON-070,Business Analyst,2023-05-02,2023-08-15,0.3,198,Closed
ASN-00434,PRJ-0157,CON-059,Project Manager,2025-09-22,2025-12-31,0.2,297.5,Active
ASN-00435,PRJ-0157,CON-060,Technical Specialist,2025-10-02,2025-12-31,0.75,153,Active
ASN-00436,PRJ-0157,CON-055,Change Analyst,2025-09-26,2025-12-31,0.6,153,Active
ASN-00437,PRJ-0157,CON-034,Technical Specialist,2025-09-17,2025-12-31,0.2,187,Active
ASN-00438,PRJ-0158,CON-033,Project Manager,2023-11-16,2023-12-14,0.2,315,Closed
ASN-00439,PRJ-0158,CON-004,Delivery Consultant,2023-11-25,2023-12-14,0.75,135,Closed
ASN-00440,PRJ-0158,CON-054,Delivery Consultant,2023-11-18,2023-12-14,0.4,162,Closed
ASN-00441,PRJ-0159,CON-048,Project Manager,2023-01-12,2023-07-13,0.2,256.5,Closed
ASN-00442,PRJ-0159,CON-042,Lead Consultant,2023-01-22,2023-07-13,0.75,171,Closed
ASN-00443,PRJ-0160,CON-033,Project Manager,2025-04-22,2025-08-07,0.2,315,Closed
ASN-00444,PRJ-0160,CON-004,Technical Specialist,2025-04-30,2025-08-07,1,135,Closed
ASN-00445,PRJ-0160,CON-032,Change Analyst,2025-04-27,2025-08-07,1,315,Closed
ASN-00446,PRJ-0161,CON-033,Project Manager,2023-12-10,2024-06-22,0.25,315,Closed
ASN-00447,PRJ-0161,CON-004,Change Analyst,2023-12-23,2024-06-22,1,135,Closed
ASN-00448,PRJ-0162,CON-048,Project Manager,2023-08-05,2024-01-26,0.15,256.5,Active
ASN-00449,PRJ-0162,CON-001,Lead Consultant,2023-08-15,2024-01-26,0.6,171,Active
ASN-00450,PRJ-0163,CON-056,Project Manager,2025-06-17,2025-11-04,0.15,297,Closed
ASN-00451,PRJ-0163,CON-070,Change Analyst,2025-06-15,2025-11-04,0.5,198,Closed
ASN-00452,PRJ-0164,CON-048,Project Manager,2024-04-08,2024-11-03,0.2,256.5,Closed
ASN-00453,PRJ-0164,CON-007,Change Analyst,2024-04-19,2024-11-03,0.5,142.5,Closed
ASN-00454,PRJ-0165,CON-057,Project Manager,2023-07-28,2023-09-09,0.3,297,Closed
ASN-00455,PRJ-0165,CON-021,Business Analyst,2023-07-23,2023-09-09,0.2,198,Closed
ASN-00456,PRJ-0165,CON-047,Change Analyst,2023-07-19,2023-09-09,0.25,242,Closed
ASN-00457,PRJ-0165,CON-009,Delivery Consultant,2023-07-19,2023-09-09,0.25,242,Closed
ASN-00458,PRJ-0166,CON-017,Project Manager,2025-08-14,2025-12-31,0.1,243,Active
ASN-00459,PRJ-0166,CON-050,Business Analyst,2025-08-13,2025-12-31,0.25,198,Active
ASN-00460,PRJ-0166,CON-032,Delivery Consultant,2025-08-20,2025-12-31,0.3,315,Active
ASN-00461,PRJ-0167,CON-048,Project Manager,2025-08-16,2025-12-31,0.3,256.5,Active
ASN-00462,PRJ-0167,CON-020,Change Analyst,2025-08-23,2025-12-31,0.2,209,Active
ASN-00463,PRJ-0168,CON-017,Project Manager,2023-05-16,2023-08-03,0.2,243,Closed
ASN-00464,PRJ-0168,CON-011,Business Analyst,2023-05-08,2023-08-03,1,189,Closed
ASN-00465,PRJ-0168,CON-026,Business Analyst,2023-05-26,2023-08-03,0.5,189,Closed
ASN-00466,PRJ-0168,CON-029,Change Analyst,2023-05-23,2023-08-03,0.3,189,Closed
ASN-00467,PRJ-0169,CON-077,Project Manager,2023-05-16,2023-07-01,0.15,256.5,Closed
ASN-00468,PRJ-0169,CON-020,Technical Specialist,2023-05-05,2023-07-01,1,209,Closed
ASN-00469,PRJ-0170,CON-015,Project Manager,2023-12-08,2024-01-22,0.3,350,Closed
ASN-00470,PRJ-0170,CON-036,Lead Consultant,2023-12-03,2024-01-22,0.75,350,Closed
ASN-00471,PRJ-0170,CON-062,Lead Consultant,2023-11-30,2024-01-22,0.5,220,Closed
ASN-00472,PRJ-0171,CON-059,Project Manager,2025-03-04,2025-06-28,0.25,297.5,Closed
ASN-00473,PRJ-0171,CON-063,Lead Consultant,2025-02-22,2025-06-28,0.5,127.5,Closed
ASN-00474,PRJ-0172,CON-015,Project Manager,2023-12-26,2024-07-11,0.2,350,Closed
ASN-00475,PRJ-0172,CON-068,Technical Specialist,2024-01-01,2024-07-11,0.4,157.5,Closed
ASN-00476,PRJ-0172,CON-029,Change Analyst,2024-01-07,2024-07-11,0.6,189,Closed
ASN-00477,PRJ-0173,CON-056,Project Manager,2023-04-26,2023-06-06,0.15,297,Closed
ASN-00478,PRJ-0173,CON-070,Lead Consultant,2023-05-07,2023-06-06,1,198,Closed
ASN-00479,PRJ-0173,CON-018,Change Analyst,2023-04-28,2023-06-06,0.3,198,Closed
ASN-00480,PRJ-0174,CON-059,Project Manager,2025-03-02,2025-04-13,0.15,297.5,Closed
ASN-00481,PRJ-0174,CON-055,Business Analyst,2025-02-23,2025-04-13,0.25,153,Closed
ASN-00482,PRJ-0175,CON-069,Project Manager,2023-01-18,2023-05-06,0.2,243,Closed
ASN-00483,PRJ-0175,CON-075,Delivery Consultant,2023-01-29,2023-05-06,0.4,315,Closed
ASN-00484,PRJ-0175,CON-033,Lead Consultant,2023-01-23,2023-05-06,0.2,315,Closed
ASN-00485,PRJ-0176,CON-006,Project Manager,2023-05-25,2023-12-22,0.25,256.5,Closed
ASN-00486,PRJ-0176,CON-048,Change Analyst,2023-06-04,2023-12-22,0.6,256.5,Closed
ASN-00487,PRJ-0177,CON-074,Project Manager,2024-08-19,2024-10-23,0.3,270,Closed
ASN-00488,PRJ-0177,CON-071,Lead Consultant,2024-08-25,2024-10-23,0.5,180,Closed
ASN-00489,PRJ-0178,CON-059,Project Manager,2025-08-06,2025-12-31,0.1,297.5,Active
ASN-00490,PRJ-0178,CON-064,Lead Consultant,2025-08-12,2025-12-31,0.6,127.5,Active
ASN-00491,PRJ-0178,CON-063,Lead Consultant,2025-08-16,2025-12-31,0.2,127.5,Active
ASN-00492,PRJ-0178,CON-055,Lead Consultant,2025-08-19,2025-12-31,0.6,153,Active
ASN-00493,PRJ-0179,CON-056,Project Manager,2025-09-27,2025-12-31,0.3,297,Active
ASN-00494,PRJ-0179,CON-058,Business Analyst,2025-10-09,2025-12-31,0.6,165,Active
ASN-00495,PRJ-0179,CON-065,Technical Specialist,2025-10-11,2025-12-31,1,242,Active
ASN-00496,PRJ-0180,CON-057,Project Manager,2023-10-05,2024-02-29,0.1,297,Closed
ASN-00497,PRJ-0180,CON-065,Technical Specialist,2023-10-13,2024-02-29,0.25,242,Closed
ASN-00498,PRJ-0180,CON-053,Business Analyst,2023-09-29,2024-02-29,1,242,Closed
ASN-00499,PRJ-0181,CON-056,Project Manager,2023-12-01,2024-01-17,0.1,297,Closed
ASN-00500,PRJ-0181,CON-013,Change Analyst,2023-12-08,2024-01-17,0.2,165,Closed
ASN-00501,PRJ-0181,CON-009,Lead Consultant,2023-12-05,2024-01-17,0.2,242,Closed
ASN-00502,PRJ-0182,CON-077,Project Manager,2024-07-19,2024-10-19,0.2,256.5,Closed
ASN-00503,PRJ-0182,CON-005,Lead Consultant,2024-07-07,2024-10-19,0.6,171,Closed
ASN-00504,PRJ-0183,CON-057,Project Manager,2024-04-22,2024-09-22,0.15,297,Closed
ASN-00505,PRJ-0183,CON-021,Business Analyst,2024-04-27,2024-09-22,0.75,198,Closed
ASN-00506,PRJ-0183,CON-053,Lead Consultant,2024-04-26,2024-09-22,0.6,242,Closed
ASN-00507,PRJ-0184,CON-038,Project Manager,2023-10-31,2024-06-15,0.25,256.5,Closed
ASN-00508, PRJ-0184,CON-048,Technical Specialist,2023-11-12,2024-06-15,0.5,256.5,Closed
ASN-00509,PRJ-0184,CON-006,Technical Specialist,2023-11-07,2024-06-15,1,256.5,Closed
ASN-00510,PRJ-0185,CON-022,Project Manager,2024-03-14,2024-03-15,0.1,270,Closed
ASN-00511,PRJ-0185,CON-037,Change Analyst,2024-03-07,2024-03-15,0.25,180,Closed
ASN-00512,PRJ-0185,CON-015,Change Analyst,2024-03-05,2024-03-15,0.4,350,Closed
ASN-00513,PRJ-0186,CON-038,Project Manager,2025-05-17,2025-10-13,0.2,256.5,Closed
ASN-00514,PRJ-0186,CON-052,Technical Specialist,2025-05-22,2025-10-13,0.5,142.5,Closed
ASN-00515,PRJ-0186,CON-048,Change Analyst,2025-05-29,2025-10-13,0.2,256.5,Closed
ASN-00516,PRJ-0186,CON-023,Lead Consultant,2025-06-02,2025-10-13,0.5,171,Closed
ASN-00517,PRJ-0187,CON-077,Project Manager,2025-02-16,2025-02-22,0.25,256.5,Closed
ASN-00518,PRJ-0187,CON-005,Business Analyst,2025-02-07,2025-02-22,0.5,171,Closed
ASN-00519,PRJ-0187,CON-076,Delivery Consultant,2025-02-02,2025-02-22,0.75,171,Closed
ASN-00520,PRJ-0188,CON-059,Project Manager,2024-01-09,2024-06-13,0.3,297.5,Closed
ASN-00521,PRJ-0188,CON-067,Change Analyst,2024-01-09,2024-06-13,0.6,187,Closed
ASN-00522,PRJ-0188,CON-055,Lead Consultant,2024-01-18,2024-06-13,0.3,153,Closed
ASN-00523,PRJ-0189,CON-038,Project Manager,2023-02-03,2023-05-18,0.3,256.5,Closed
ASN-00524,PRJ-0189,CON-007,Lead Consultant,2023-01-27,2023-05-18,0.25,142.5,Closed
ASN-00525,PRJ-0189,CON-035,Business Analyst,2023-02-01,2023-05-18,0.25,142.5,Closed
ASN-00526,PRJ-0190,CON-077,Project Manager,2024-08-03,2024-12-19,0.15,256.5,Closed
ASN-00527,PRJ-0190,CON-007,Business Analyst,2024-07-27,2024-12-19,0.2,142.5,Closed
ASN-00528,PRJ-0190,CON-072,Change Analyst,2024-08-09,2024-12-19,0.4,142.5,Closed
ASN-00529,PRJ-0191,CON-033,Project Manager,2025-09-01,2025-12-16,0.2,315,Active
ASN-00530,PRJ-0191,CON-004,Delivery Consultant,2025-08-20,2025-12-16,0.3,135,Active
ASN-00531,prj-0191 ,CON-075,Change Analyst,2025-08-19,2025-12-16,0.5,315,Active
ASN-00532,PRJ-0191,CON-017,Technical Specialist,2025-08-29,2025-12-16,0.4,243,Active
ASN-00533,PRJ-0192,CON-057,Project Manager,2023-12-27,2024-02-12,0.25,297,Closed
ASN-00534,PRJ-0192,CON-002,Technical Specialist,2023-12-28,2024-02-12,0.3,242,Closed
ASN-00535,PRJ-0192,CON-056,Lead Consultant,2024-01-06,2024-02-12,0.25,297,Closed
ASN-00536,PRJ-0193,CON-015,Project Manager,2023-09-09,2023-12-02,0.2,350,Closed
ASN-00537,PRJ-0193,CON-045,Business Analyst,2023-09-01,2023-12-02,0.5,157.5,Closed
ASN-00538,PRJ-0194,CON-059,Project Manager,2025-09-09,2025-09-17,0.3,297.5,Closed
ASN-00539,PRJ-0194,CON-064,Change Analyst,2025-09-04,2025-09-17,0.75,127.5,Closed
